history_id,from_stage,to_stage,moved_at,total_moves,days_since_creation,current_stage_duration,value,sector,prioridade,target
b9fa3326-9d3c-41b5-a1eb-383adb445129,Análise de Perfil,Conversa com o Cliente,2025-05-24,1,4,4,45989,Tecnologia,Média,pouco provável
7382f54b-4156-4290-bc98-cf265f4c5302,Análise de Perfil,Conversa com o Cliente,2025-04-11,1,15,15,5519,Tecnologia,Baixa,pouco provável
c8c362bd-2b85-4ce0-b1e7-d41875dc8ade,Análise de Perfil,Conversa com o Cliente,2025-04-02,1,1,1,42082,Tecnologia,Alta,muito provável
236a7525-a829-403f-86d4-2286f9e07031,Análise de Perfil,Conversa com o Cliente,2025-02-05,1,12,12,6950,Saúde,Baixa,pouco provável
12cfea79-2990-4452-9c4b-8891b0e11ff1,Análise de Perfil,Conversa com o Cliente,2025-08-11,1,9,9,10318,Educação,Média,provável
d204a760-9450-40cd-9df8-a0ba0cdb0964,Análise de Perfil,Conversa com o Cliente,2025-06-27,1,6,6,37113,Saúde,Baixa,pouco provável
612e4503-554e-4b3f-b1c0-895c9f33743b,Análise de Perfil,Conversa com o Cliente,2025-11-05,1,3,3,7686,Educação,Baixa,pouco provável
dfcedfb4-11f7-489f-a630-554d198133c9,Análise de Perfil,Análise de Perfil,2025-03-04,1,14,14,16177,Saúde,Baixa,pouco provável
be030d7a-7b50-4643-9c96-aadeff6ca4fb,Análise de Perfil,Conversa com o Cliente,2025-04-23,1,14,14,25889,Serviços,Baixa,pouco provável
1d60bf60-4d0d-42b0-a698-7559455dfdd6,Análise de Perfil,Conversa com o Cliente,2025-11-11,1,1,1,23989,Indústria,Média,provável
5e66260b-0927-4007-bc19-f4a7f637107a,Análise de Perfil,Conversa com o Cliente,2025-06-18,1,13,13,42215,Educação,Média,pouco provável
acafa388-88d6-4992-8ee1-b9ef1b875cff,Análise de Perfil,Conversa com o Cliente,2025-10-24,1,14,14,47468,Indústria,Média,provável
76037ad0-7422-4b90-8da7-4042a0e615fc,Análise de Perfil,Conversa com o Cliente,2025-01-27,1,15,15,46735,Tecnologia,Média,provável
1f34c3f9-6ff2-4f9f-8e39-0d6ed073371c,Análise de Perfil,Conversa com o Cliente,2025-06-16,1,9,9,28800,Tecnologia,Baixa,pouco provável
f997df19-5139-4089-94e2-a4db9800f2df,Análise de Perfil,Análise de Perfil,2025-11-18,1,9,9,25385,Educação,Baixa,pouco provável
44f54225-6568-4e15-9090-663bf36e5324,Análise de Perfil,Conversa com o Cliente,2025-02-15,1,4,4,24271,Educação,Baixa,pouco provável
4f27cccf-8f42-4886-863e-5bdab4efcf12,Análise de Perfil,Conversa com o Cliente,2025-11-23,1,14,14,25996,Indústria,Média,pouco provável
6c06cd2a-219e-4853-9179-a97f775703a0,Análise de Perfil,Conversa com o Cliente,2025-08-02,1,9,9,9401,Serviços,Média,pouco provável
3e2d750d-5c16-4568-87ee-eba20475702b,Análise de Perfil,Análise de Perfil,2025-05-25,1,12,12,12723,Saúde,Média,pouco provável
3be92c89-342d-42ff-ae45-952096955d1a,Análise de Perfil,Conversa com o Cliente,2025-03-22,1,6,6,41202,Serviços,Média,provável
6b73e533-7a6f-4c33-adf5-ea4b26f42f86,Análise de Perfil,Conversa com o Cliente,2025-03-21,1,4,4,30699,Tecnologia,Média,pouco provável
97fdd185-ac35-4a67-a79c-4b9660d84001,Análise de Perfil,Conversa com o Cliente,2025-07-17,1,15,15,48363,Educação,Baixa,pouco provável
528fcc57-55e4-4476-8e1e-31cc859bf2bb,Análise de Perfil,Análise de Perfil,2025-05-29,1,6,6,20755,Serviços,Média,provável
06b56fae-9c1b-48bd-9c73-5003ad784b1b,Análise de Perfil,Análise de Perfil,2025-07-21,1,14,14,38485,Indústria,Média,provável
ea5e66b0-5eb5-46ff-af78-92092439fcb4,Análise de Perfil,Conversa com o Cliente,2025-06-17,1,15,15,42728,Educação,Média,provável
1100a932-496e-4bb0-8b57-03fe4b29f484,Análise de Perfil,Conversa com o Cliente,2025-05-06,1,11,11,28258,Indústria,Baixa,pouco provável
0b9de4a6-0ba0-4523-9d7b-28b37406697f,Análise de Perfil,Conversa com o Cliente,2025-09-08,1,7,7,32766,Educação,Alta,provável
fd3ed749-aac9-44a9-9081-6db1c0af514e,Análise de Perfil,Análise de Perfil,2025-06-28,1,12,12,11824,Saúde,Baixa,pouco provável
1d725b6e-5fc0-46f8-92de-0be114aeb690,Análise de Perfil,Conversa com o Cliente,2025-03-11,1,14,14,33301,Saúde,Média,provável
8df14a00-5035-4608-bc26-ee4effaef695,Análise de Perfil,Análise de Perfil,2025-02-07,1,11,11,13875,Educação,Baixa,pouco provável
75a3f1bd-fbf8-4add-a28a-641fcd073115,Análise de Perfil,Conversa com o Cliente,2025-07-30,1,12,12,6215,Tecnologia,Baixa,pouco provável
a1a08e80-22a4-4d27-bdc0-9b5da7c537ce,Análise de Perfil,Conversa com o Cliente,2025-03-07,1,4,4,9668,Saúde,Baixa,pouco provável
e5f37ebb-a6c3-48c2-ad51-7fef107688d4,Análise de Perfil,Conversa com o Cliente,2025-04-05,1,1,1,40016,Serviços,Alta,muito provável
e30cf388-b291-4a8f-8d7c-f53af736daf3,Análise de Perfil,Conversa com o Cliente,2025-03-05,1,9,9,13218,Tecnologia,Média,pouco provável
4220d7db-bb3a-48dd-9e98-e8b38a25f311,Análise de Perfil,Análise de Perfil,2025-01-16,1,10,10,30727,Educação,Média,provável
