history_id,from_stage,to_stage,moved_at,total_moves,days_since_creation,current_stage_duration,value,sector,prioridade,target
4b5e0b58-407b-45b8-9b31-b3fab5a88f2c,Análise de Perfil,Análise de Perfil,2025-09-01,1,5,5,47153,Indústria,Média,provável
d7779a9f-65f5-4e00-ac87-a2711192bfd8,Análise de Perfil,Análise de Perfil,2025-09-04,2,8,3,47153,Indústria,Média,pouco provável
a843aae0-e22a-40c6-a16f-d2d970b95c4f,Análise de Perfil,Conversa com o Cliente,2025-09-12,3,16,8,47153,Indústria,Média,provável
082780fc-50da-45b1-bbe1-7306f528e86c,Conversa com o Cliente,Conversa com o Cliente,2025-09-27,4,31,15,47153,Indústria,Média,pouco provável
f4a2244d-247e-4071-8c43-d7922b138802,Conversa com o Cliente,Negociação,2025-10-05,5,39,8,47153,Indústria,Média,provável
b9654397-8fc1-48cf-b003-0a8cc650add9,Análise de Perfil,Conversa com o Cliente,2025-08-30,1,14,14,18368,Comércio,Média,provável
4b3d5a25-69f5-4755-a755-1d5943912591,Conversa com o Cliente,Negociação,2025-09-05,2,20,6,18368,Comércio,Média,provável
cc0cf76d-093e-429d-a6f3-9471fdfe652a,Negociação,Fechamento,2025-09-07,3,22,2,18368,Comércio,Média,provável
f68eca87-731b-44d7-b899-fe2eb864602c,Análise de Perfil,Análise de Perfil,2025-03-03,1,10,10,31813,Indústria,Alta,muito provável
d7118ddb-68d9-4a8b-a6d8-c98ec469172d,Análise de Perfil,Análise de Perfil,2025-03-05,2,12,2,31813,Indústria,Alta,provável
f31e9733-c178-44f0-a07c-a2fcd5bcb8c8,Análise de Perfil,Conversa com o Cliente,2025-03-10,3,17,5,31813,Indústria,Alta,muito provável
7dcfe27c-8201-4384-a2b2-60543759a02e,Conversa com o Cliente,Negociação,2025-03-19,4,26,9,31813,Indústria,Alta,provável
4f202522-bbe2-43e8-b26b-b5fb69916502,Análise de Perfil,Conversa com o Cliente,2025-06-12,1,15,15,47648,Comércio,Baixa,pouco provável
361361c7-10e9-4511-abd7-daf666f9fece,Conversa com o Cliente,Conversa com o Cliente,2025-06-16,2,19,4,47648,Comércio,Baixa,pouco provável
4b86e984-213a-4b8d-b81e-42d178eeb78a,Conversa com o Cliente,Conversa com o Cliente,2025-07-01,3,34,15,47648,Comércio,Baixa,pouco provável
40417b30-0061-4566-8629-57b03e729ec4,Análise de Perfil,Análise de Perfil,2025-02-28,1,10,10,9949,Educação,Média,pouco provável
01d92249-00a5-40c1-b3b3-3ec425fb0e47,Análise de Perfil,Conversa com o Cliente,2025-03-12,2,22,12,9949,Educação,Média,pouco provável
29606773-f74c-41da-97c5-5250e2d92ef1,Conversa com o Cliente,Negociação,2025-03-15,3,25,3,9949,Educação,Média,provável
9fd5b496-afee-49dc-bbcf-0d2ab3d1808e,Negociação,Fechamento,2025-03-19,4,29,4,9949,Educação,Média,provável
d68b8799-c816-4f9a-ba35-c690e30a1f93,Análise de Perfil,Conversa com o Cliente,2025-08-25,1,6,6,36675,Comércio,Baixa,pouco provável
9c66cb2d-7207-4f83-9d94-0fa94beea172,Conversa com o Cliente,Negociação,2025-08-29,2,10,4,36675,Comércio,Baixa,pouco provável
